despesa,tipo
MUNCHNER VERKEHRSGESEL MUNCHEN DE,Comida
EDEKA CENTER OEZ,Supermercado
LEV ATM 3613 DEU 49001770 DB D,Saques
Saque,Saques
Edeka,Supermercado
Saque,Saques
Saque 2,Saques
Almoco,Comida
KFC,Comida
Vodafone,Consumo
WeWash,Consumo
EDFC,Comida
Comida,Comida
Dallmayr,Comida
WeWash,Consumo
Trem,Consumo
Cafe Vergano,Comida
MVG,Consumo
Vivo,Fixo
Eletropaulo,Fixo
GUARUCOOP,Final de Semana
TAR PACOTE ITAU NOV/21,Fixo
ALEXANDRE,Fixo
CARREFOUR,Supermercado
CARREFOUR,Supermercado
MOOCA PLAZA,Carro
EXTRA HIPER0,Supermercado
EXTRA HIPER0,Fixo
RAIA 231,Supermercado
CDB CENTRO,Consumo
PAG*Ronaldo,Nerdisse
CARREFOUR,Supermercado
B CATH CAR,Comida
AVENIDA PAR,Carro
ETNA BER,Fixo
PAG*Italva,Comida
INT TED aa3d3fb5,Medico
BOM BILHAR,Final de Semana
CARREFOUR,Supermercado
PAG*Italva,Comida
PAG*Marcio,Comida
INT PAG TIT 109005317206,Fixo
DA VIVO FIXO 9324810660,Fixo
EDEKA M ERIKA MANN 880,Almoço
MOOCA PLAZA,Carro
ECALAUTO,Carro
JORGE KOBAS,Comida
KZEN,Comida
PAG*Italva,Comida
PAG*Italva,Comida
SAQUE 24H 01059864,Saques
CARREFOUR,Supermercado
DRIVE SP,Comida
PAG*Italva,Comida
PAG*LEITURA,Nerdisse
TUTTI BUONO,Comida
DA ELETROPAULO 56301179,Fixo
YOSHIDA,Nerdisse
CARREFOUR,Supermercado
POSTO 5,Carro
RSHOPCDB CENTRO,Final de Semana
RSHOPPOSTO 5 DE,Carro
TAR PACOTE ITAU DEZ/21,Fixo
INT PAG TIT 109005328831,Fixo
INT COMGAS 71300372,Fixo
INT COMGAS 73600320,Fixo
INT COMGAS 74400302,Fixo
Saque,Saques
Edeka,Supermercado
Imposto,Fixo
ANUIDADE DIFERENCIADA 01/12,Fixo
EBANX*SPOTIFY CURITIBA BR,Nerdisse
Amazon.com.br Digital SAO PAULO BR,Nerdisse
AmazonPrimeBR SAO PAULO BR,Nerdisse
Disney Plus SAO PAULO BR,Nerdisse
APPLE.COM/BILL SAO PAULO BR,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
APPLE.COM/BILL SAO PAULO BR,Nerdisse
DEMERGE BRAS*Blizzard SAO PAULO BR,Nerdisse
IOF TRANSACOES INTERNACIONAIS,Fixo
STEAMGAMES.COM 4259522 Hamburg DE,Nerdisse
STEAMGAMES.COM 4259522 Hamburg DE,Nerdisse
STEAM PURCHASE,Nerdisse
ANUIDADE DIFERENCIADA 02/12,Fixo
EBANX *SPOTIFY,Nerdisse
SERVICOS CLA*119137304,Consumo
UBER *TRIP HELP.UBER.C,Carro
AmazonPrimeBR,Nerdisse
IFD*LANCHONETE MELLO,Comida
Amazon.com.br Digital,Nerdisse
IFD*ESTACAO DO VINHO B,Comida
IFD*LUCAS PEREIRA GOME,Comida
IFD*CONFEITARIA DOLCI,Comida
Disney Plus,Nerdisse
IFD*IFOOD.COM AGENCIA,Comida
IFD*XANGAI COMERCIO AR,Comida
IFD*IFOOD.COM AGENCIA,Comida
IFD*RESTAURANTE R AZEV,Comida
NETFLIX.COM,Nerdisse
CARREFOUR 388 PAN,Carro
IFD*RIQS HAMBURGUERIA,Comida
IFD*LANCHONETE MELLO,Comida
SERVICOS CLA*119137304,Consumo
IFD*RESTAURANTE R AZEV,Comida
IFD*LA MINUTE PIZZARIA,Comida
IFD*XANGAI COMERCIO AR,Comida
IFD*FERNANDO RABELO LE,Comida
IFD*MARCIA APARECIDA L,Comida
CARREFOUR 388 PAN,Carro
APPLE.COM/BILL,Nerdisse
IFD*PIMENTA DA TERRA R,Comida
RAPPI*Rappi Brasil Int,Supermercado
IFD*BRAZZATTO PIZZA LT,Comida
VAMO TOMA UMA,Final de Semana
UBER *TRIP HELP.UBER.C,Carro
IFD*I.B. CAFE LTDA,Comida
CINEMARK MOOCA,Final de Semana
IFD*SEU TEMPERO RESTAU,Comida
IFD*LANCHONETE MELLO,Comida
IOF TRANSACOES INTERNACIONAIS,Fixo
LOCALIZA RAC ACCAE0,Consumo
KFC,Comida
EDEKA,Supermercado
Pizza,Comida
Almoco,Almoço
Edeka,Supermercado
Solange,Fixo
Comgas,Consumo
Vivo,Consumo
Mae,Consumo
Cafe da Manha,Comida
Edeka,Supermercado
Cuecas,Roupas
Almoco,Almoço
Jogo,Nerdisse
Almoco,Almoço
Almoco 1,Almoço
Edeka,Supermercado
almoco,Almoço
cafe da manha,Comida
Jantar,Comida
Saque,Saques
Jantar,Comida
Almoco,Almoço
Almoco 2,Almoço
KFC,Comida
Almoco 3,Almoço
EBANX *SPOTIFY,Nerdisse
IFD*XANGAI COMERCIO AR,Comida
IFD*EDISON LUIZ DE PAS,Comida
IFD*IFOOD.COM AGENCIA,Comida
IFD*RESTAURANTE R AZEV,Comida
IFD*LANCHONETE MELLO,Comida
IFD*CLEUNICE SANTOS HA,Comida
SERVICOS CLA*119137304,Consumo
IFD*SEU TEMPERO RESTAU,Comida
LOCALIZA RAC ACCAE0 D,Carro
AmazonPrimeBR,Nerdisse
Uber *UBER *TRIP,Carro
IFD*GABRIEL PITA 22985,Comida
IFD*ESTAIL RESTAURANTE,Comida
UBER *TRIP HELP.UBER.C,Carro
Amazon.com.br Digital,Nerdisse
UBER *TRIP HELP.UBER.C,Carro
Uber *UBER *TRIP,Carro
UBER *TRIP HELP.UBER.C,Carro
IFD*XANGAI COMERCIO AR,Comida
Disney Plus,Nerdisse
NETFLIX.COM,Nerdisse
APPLE.COM/BILL,Nerdisse
Metro,Consumo
Edeka,Supermercado
WeWash,Consumo
Almoco,Almoço
Sausalitos,Final de Semana
Almoco2,Almoço
cafe da manha,Comida
cafe da manha2,Comida
nordvpn,Nerdisse
Almoco3,Almoço
Eletropaulo,Consumo
Edeka,Supermercado
Almoco,Almoço
KFC,Comida
Almoco 2,Almoço
Almoco 3,Almoço
Almoco 4,Almoço
Doce,Comida
Taifa,Fixo
Condominio,Fixo
EBANX *SPOTIFY,Nerdisse
Amazon.com.br Digital,Nerdisse
AmazonPrimeBR,Nerdisse
Disney Plus,Nerdisse
STEAMGAMES.COM,Nerdisse
Axel F,Comida
BAECKEREI ZIEGLER,Almoço
MuNCHNER VERKEHRSGESEL,Almoço
Baeckerei Ziegler,Comida
Baeckerei Ziegler,Almoço
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
Edeka Center OEZ,Supermercado
Cueca,Roupas
Almoco,Almoço
Corte Cabelo,Fixo
Cuecas,Roupas
Gog,Nerdisse
Almoco,Almoço
Comgas,Fixo
Vivo,Fixo
Netflix,Nerdisse
Saque,Saques
Almoco,Almoço
cafe da manha,Comida
Almoco,Almoço
Saida,Comida
Almoco,Almoço
Metro,Consumo
Cafe da manha,Comida
Edeka,Supermercado
Almoco,Almoço
Almoco,Almoço
cafe da manha,Comida
Almoco,Almoço
cafe da manha,Comida
janta,Comida
Supermercadp,Supermercado
imposto,Fixo
WeWash,Consumo
Steam Games,Nerdisse
Apple+,Nerdisse
Imposto,Fixo
Condomino,Fixo
Pacote Itau,Fixo
Eletropaulo,Consumo
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
KFC 1039,Comida
BAECKEREI ZIEGLER,Almoço
LEV ATM 6251 DEU 22201292,Saques
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
EDEKA CENTER OEZ,Supermercado
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
MODEFRISEUR BLATTER,Fixo
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
EDEKA CENTER OEZ,Supermercado
BAckerei Wimmer Fil.39,Comida
Milano s GmbH,Almoço
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
KAIMUG RESTAURANT GMBH,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
KFC 1039,Comida
BAECKEREI ZIEGLER,Almoço
EDEKA CENTER OEZ,Supermercado
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
LEV ATM 6251 DEU STADTSPARKASSE,Saques
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
Edeka,Supermercado
Cafe da Manha,Comida
Almoco,Almoço
Cafe da Manha2,Comida
KFC,Comida
MIlanos,Comida
Uber,Carro
Vodaphone,Consumo
MVG,Fixo
Gog,Nerdisse
Comgas,Consumo
vivo,Consumo
BAECKEREI ZIEGLER,Comida
EDEKA M ERIKA MANN 880,Almoço
KFC 1039,Comida
KFC 1039,Comida
MUNCHNER VERKEHRSGESEL,Fixo
BAECKEREI ZIEGLER,Comida
EDEKA M ERIKA MANN 880,Almoço
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
KAIMUG RESTAURANT GMBH,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
ALDI SUED,Supermercado
BAECKEREI ZIEGLER,Comida
EDEKA CENTER OEZ,Supermercado
BAECKEREI ZIEGLER,Almoço
MUNCHNER VERKEHRSGESEL,Fixo
MILLE MIGLIA,Supermercado
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
EDEKA CENTER OEZ,Supermercado
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
Edeka,Supermercado
Saque,Saques
janta,Comida
Cafe da manha,Comida
Pacote,Fixo
Eletropaulo,Fixo
WeWash,Consumo
ANUIDADE DIFERENCIADA 05/12,Fixo
EBANX *SPOTIFY CURITIBA BR,Nerdisse
AmazonPrimeBR SAO PAULO BR,Nerdisse
Amazon Digital BR SAO PAULO BR,Nerdisse
Disney Plus SAO PAULO BR,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
APPLE.COM/BILL SAO PAULO BR,Nerdisse
MUNCHNER VERKEHRSGESEL,Fixo
BAECKEREI ZIEGLER,Comida
SANI PLUSAPOTHEKE MUEN,Medico
BAECKEREI ZIEGLER,Comida
EDEKA CENTER OEZH,Supermercado
BAECKEREI ZIEGLER,Almoço
La Pizza EnricoRossini,Comida
BAECKEREI ZIEGLER,Almoço
EDEKA CENTER OEZH,Supermercado
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
LEV ATM 6251 DEU STADTSPARKASSEHE OLYEIN,Saques
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
EDEKA CENTER OEZH,Supermercado
KFC 1039,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
DB Automaten MUnchen,Fixo
SumUp Pasta Traum Marti,Comida
MUNCHNER VERKEHRSGESEL,Fixo
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
EDEKA CENTER OEZH,Supermercado
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
EDEKA CENTER OEZH,Supermercado
MUNCHNER VERKEHRSGESEL,Fixo
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
KFC 1039,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
EDEKA CENTER OEZH,Supermercado
Comissao Emissao s/ Ordem Pag.  Ref.20220703129,Fixo
I.S.  4%  s/Com.Emis. Ord. Pag. Ref.20220703129,Fixo
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
Tap House,Comida
MUNCHNER VERKEHRSGESEL,Fixo
BAECKEREI ZIEGLER,Almoço
SATURN ELECTROHANDELS,Nerdisse
TretterSchuhehen,Roupas
MODEFRISEUR BLATTER MUE,Fixo
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Comida
KFC 1039,Comida
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
EDEKA CENTER OEZH,Supermercado
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Almoço
EDEKA CENTER OEZH,Supermercado
MUNCHNER VERKEHRSGESEL,Fixo
BAECKEREI ZIEGLER,Comida
Lilli P.,Fixo
BAECKEREI ZIEGLER,Comida
BAECKEREI ZIEGLER,Comida
EDEKA M ERIKA MANN 880,Supermercado
BAECKEREI ZIEGLER,Almoço
WeWash,Consumo
Academia,Fixo
Gog,Nerdisse
Uber,Carro
comgas,Fixo
condominio,Fixo
pacote,Fixo
eletropaulo,Fixo
contas mae,Fixo
vivo,Fixo
comgas,Fixo
Vivo,Fixo
PAD PORT RESTELO LISBOA,Comida
PORTOBAY FALESIA ALBUFE,Final de Semana
"4S HAMBURGUER HOUSE LIS",Comida
CAFFE CREME ALBUFEIRA P,Comida
IMPOSTO DO SELO,Fixo
CUSTO DE SERVICO INTERNACIONAL,Fixo
VIATOR IT-1284814038 LONDON GB,Final de Semana
PORTO BAY FALESIA ALBUF,Final de Semana
BRISA AREAS SERVICO GRA,Final de Semana
ALGARFAVORITA LDA GUIA,Final de Semana
WINE TAPAS LISBOA PR,Comida
EST SERVICO A S ALJUSTREL ALJUSTREL,Final de Semana
BODY CONCEPT LISBOA PR,Consumo
MARITIMA DO RESTELO LIS,Comida
Comissao Emissao s/ Ordem Pag.  Ref.20221041613,Fixo
I.S.  4%  s/Com.Emis. Ord. Pag. Ref.20221041613,Fixo
"4S HAMBURGUER HOUSE LIS",Comida
CONFEITARIA MARQUES LIS,Comida
PAD PORT BAR SALG LISBO,Comida
XB BARBEARIA 1150-109 LISBOA,Roupas
MARQUES POMBAL 1 LISBOA,Fixo
N E N HOTELARIA LDA LIS,Supermercado
"4S HAMBURGUER HOUSE LIS",Comida
PINGO DOCE RESTELO LISB,Supermercado
NUVEM MATRIARCA LDA LIS,Comida
CONFEIT MARQUE POMBA LI,Comida
Comissao Emissao s/ Ordem Pag.  Ref.20221011447,Fixo
I.S.  4%  s/Com.Emis. Ord. Pag. Ref.20221011447,Fixo
LEV ATM 6251 BESCL Lisboa,Saques
LUFTHANSA 2608679092 MU,Fixo
FUERSTENLOUNGE E4 T2 MU,Almoço
THE FLAG M. MU,Fixo
EDEKA M ERIKA MANN 880,Almoço
"4S HAMBURGUER HOUSE LIS",Comida
MUNCHNER VERKEHRSGESEL MUNCHEN DE,Fixo
MUNCHNER VERKEHRSGESEL MUNCHEN DE,Fixo
BAECKEREI ZIEGLER MUENC,Almoço
LEV ATM 6251 DEU STADTSPARKASSE OLY.EKZ,Saques
BAECKEREI ZIEGLER MUENC,Almoço
EDEKA CENTER OEZ MUENCH,Supermercado
BAECKEREI ZIEGLER MUENC,Almoço
BAECKEREI ZIEGLER MUENC,Almoço
Comissao Emissao s/ Ordem Pag.  Ref.20220954522,Comida
I.S.  4%  s/Com.Emis. Ord. Pag. Ref.20220954522,Comida
BAECKEREI ZIEGLER MUENC,Comida
BAECKEREI ZIEGLER MUENC,Almoço
EDEKA CENTER OEZ MUENCH,Supermercado
BAECKEREI ZIEGLER MUENC,Almoço
BAECKEREI ZIEGLER MUENC,Comida
Lieferando.de lieferse Amsterdam NL,Comida
KFC 1039 MUNCHEN DE,Comida
BAECKEREI ZIEGLER MUENC,Almoço
BAECKEREI ZIEGLER MUENC,Comida
EDEKA CENTER OEZ MUENCH,Supermercado
ZTL SOEREN RABE MARKT S,Almoço
BAECKEREI ZIEGLER MUENC,Almoço
Europcar,Carro
UBER,Carro
Mollie *WeWash GmbH,Fixo
UBER   *TRIP,Carro
UBER   *TRIP,Carro
body + soul group AG & Co. KG,Fixo
Vodafone GmbH CallYa,Consumo
Padaria,Comida
pingo de ouro,Supermercado
saque,Saques
janta,Comida
padaria 1,Comida
EBANX SPOTIFY,Nerdisse
ANUIDADE DIFERENCIADA 06/12,Fixo
Amazon.com.br Digital,Nerdisse
AmazonPrimeBR,Nerdisse
Disney Plus,Nerdisse
NETFLIX.COM,Nerdisse
APPLE.COM/BILL,Nerdisse
EBANX SPOTIFY,Nerdisse
ANUIDADE DIFERENCIADA 07/12,Fixo
AmazonPrimeBR,Nerdisse
Amazon.com.br Digital,Nerdisse
Disney Plus,Nerdisse
NETFLIX.COM,Nerdisse
APPLE.COM/BILL,Nerdisse
DA  ELETROPAULO 56301179,Comida
TAR PACOTE ITAU   MAI/22,Fixo
INT PAG TIT 109005364281,Fixo
DA  COMGAS 48353698,Comida
DA  VIVO FIXO 9324810660,Comida
I.S.  4%  s/Com.Emis. Ord. Pag. Ref.20221318048,Comida
MINIPRECO BARATA SAL LI,Comida
MARQUES POMBAL 1 LISBOA,Fixo
PAD PORT MARQUES POM LI,Comida
LEV ATM 6251 BBV Lisboa Av da Liberdad,Saques
PAD PORT MARQUES POM LI,Comida
Glovo 27JUN LIEK1H8NK Lisbon PR,Comida
PAD PORT RESTELO LISBOA,Comida
Glovo 26JUN LI1A4TBPE Lisbon PR,Comida
PAD PORT RESTELO LISBOA,Comida
PINGO DOCE RESTELO LISB,Comida
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
LEV ATM 6251 BBV Lisboa Av da Liberdad,Saques
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
Worten Sacola,Fixo
Aspirador,Fixo
Padaria,Comida
Padaria2,Comida
Almoco,Comida
Supemercado,Supermercado
Body And Soul,Fixo
Europcar,Carro
Uber 1,Carro
Uber 2,Carro
Uber 3,Carro
Condominio,Fixo
Luz,Fixo
EBANX SPOTIFY,Nerdisse
ANUIDADE DIFERENCIADA 08/12,Fixo
AmazonPrimeBR,Nerdisse
Amazon.com.br Digital,Nerdisse
Disney Plus,Nerdisse
NETFLIX.COM,Nerdisse
APPLE.COM/BILL,Nerdisse
TAKEAWAY S. VICENTE BRA,Fixo
LEV ATM,Saques
PLURICOSMETICA PORTO PR,Comida
TELEPIZZA BRAGANCA BRAG,Fixo
Grab And Fly Term A Zav,Fixo
Cafe Comptoir Zaventem,Comida
CRF EXP CONGRES BRUXELL,Fixo
Belgian Chocolate Hous,Comida
Per Bacco bruxelles,Comida
LOJA SOHO LISBOA PR,Comida
CONFEITARIA NACIONAL LI,Comida
MOTEL ONE BRUXELLES BRU,Fixo
MOTEL ONE BRUXELLES BRU,Fixo
Flibtravel Internation,Fixo
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
Comissao Emissao s/ Ordem Pag.  Ref.20221318048,Comida
PAD PORT AMOREIRA LISBO,Comida
PAD PORT AMOREIRA LISBO,Comida
PINGO DOCE CAMPOLIDE LI,Comida
PAD PORT MARQUES POM LI,Comida
LEV ATM,Saques
PAD PORT MARQUES POM LI,Comida
XB BARBEARIA 1150109 LISBOA,Comida
PAD PORT MAR POMBAL LIS,Comida
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
PAD PORT AMOREIRA LISBO,Comida
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
IMPOSTO DE SELO 17.3.4,Fixo
COM. MANUTENCAO CONTA ORDENADO 062022,Fixo
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
PAD PORT MARQUES POM LI,Comida
PAD PORT RESTELO LISBOA,Comida
UBER   *TRIP,Carro
UBER   *TRIP,Carro
UBER   *TRIP,Carro
Glovo 02JUL LID9X1BJM,Comida
Glovo 02JUL LIAA85SQU,Comida
Glovo GLOVO PRIME,Comida
Glovo GLOVO PRIME,Comida
Glovo GLOVO PRIME,Comida
Glovo 13JUL LI6S49YSP,Comida
Glovo 14JUL LI2ACBVNN,Comida
Glovo GLOVO PRIME,Comida
Glovo GLOVO PRIME,Comida
Google Niantic Inc,Nerdisse
Glovo 18JUL LI2L8U2QN,Comida
Glovo 20JUL LIWRDYDL6,Comida
Glovo 21JUL LIFDPC1DJ,Comida
Glovo 22JUL LIXY6SKBH,Comida
HF HOTELS,Fixo
Vodafone GmbH CallYa,Consumo
Glovo 23JUL LITL1ZTR3,Comida
RYANAIR,Fixo
UBER   *TRIP,Carro
UBER   *TRIP,Carro
Glovo 25JUL LILZGLM21,Comida
Glovo 25JUL LIEBVRT1K,Comida
UBER   *TRIP,Carro
AIRBNB * HM3SM4DZNP,Fixo
Glovo 26JUL LI5KWMKSE,Comida
Glovo 27JUL LI4Q246CR,Comida
UBER   *TRIP,Carro
Glovo 28JUL LIPZCMVF1,Comida
body + soul group AG & Co. KG,Fixo
Glovo 29JUL LIMNL3GH8,Comida
SUPER SABORES PARADA DE TIBAES,Comida
AS TIBIAS DE JOAO BRAGA,Comida
Glovo 28AUG BRL4RY1DG Lisbon PR,Comida
Glovo 28AUG BRH1RDWJN Lisbon PR,Comida
Glovo 28AUG BRCNSM9GZ Lisbon PR,Comida
ATIPICO BRAGA PR,Comida
AS TIBIAS DE JOAO BRAGA,Comida
MESA DA PRC BRAGA PR,Comida
MESA DA PRC BRAGA PR,Comida
Glovo 26AUG BRJUWKQPT Lisbon PR,Comida
LA FIAMMA BRAGA PR,Comida
AIRBNB HMJ9MYXQ2J  LU,Casa
AS TIBIAS DE JOAO BRAGA,Comida
AS TIBIAS DE JOAO BRAGA,Comida
PAK SONAKEBAB BRAGA PR,Comida
SINAL MAGICO BRAGA BRAG,Comida
Glovo 24AUG BR1RHQCU5 Lisbon PR,Comida
LA FIAMMA BRAGA PR,Comida
Glovo 22AUG BRA6JELJ3 Lisbon PR,Comida
LOJA DELTA Q PORT,Comida
MACHADO ALMENDRA IRM PO,Comida
GRUPO CELESTE GUIMARAES,Comida
GARDEN PR,Comida
GARDEN PR,Comida
METRO DA TRINDADE,Fixo
MACHADO ALMENDRA IRM PO,Comida
GARDEN PR,Comida
METRO DA TRINDADE,Fixo
GRUPO CELESTE GUIMARAES,Comida
PAK DONER KEBAB 470020,Comida
CP SAO BENTO,Fixo
PEDRO DOS FRANGOS,Comida
MINIPRECO PR,Supermercado
Confeitaria Do Bolhao P,Comida
KEBABONLINE PT 2625167 P STA IRIA,Comida
LAVORATTA N 280 1 POR,Comida
CONF BELLA ROMA P,Comida
Confeitaria Do Bolhao P,Comida
PEDRO DOS FRANGOS,Comida
CONFEITARIA BOLHAO PORT,Comida
PADARIA CONFEITARIA 4000218,Comida
LOS TAQUITOS PR,Comida
HUSSEL VIA CATARINA POR,Comida
CONTINENTE BOM DIA PORT,Supermercado
ESPACO 77 PR,Comida
ESPACO 77 PR,Comida
NICOLAU PR,Comida
CACAU,Comida
NICOLAU 4050214,Comida
CONFEITARIA ALIANCA 4050178,Comida
MINIPRECO PR,Supermercado
Oliveira?S Restaurante,Comida
CONFEITARIA ALIANCA 4050178,Comida
CONFEITARIA ALIANCA 4050178,Comida
AIRBNB HMHQHPKF4A 1308803888 LU,Casa
NICOLAU PR,Comida
Oliveira?S Restaurante,Comida
LEV ATM 6251 EWPT2365,Saques
CONFEITARIA ALIANCA 4050178,Comida
JORGE SILVA SAPATOS POR,Comida
MINIPRECO PR,Supermercado
TAKEAWAY S. VICENTE BRA,Comida
M MIRANDA E MENDES NIPC,Comida
REDM BILHETEIRA BRAGA,Fixo
REST D. AUGUSTO SAO VIC,Comida
HAMBURGUERIA DEGEMA 470,Comida
IMPOSTO DE SELO 17.3.4,Fixo
COM. MANUTENCAO CONTA ORDENADO 072022,Fixo
TAKEAWAY S. VICENTE BRA,Comida
Comissao Emissao s/ Ordem Pag.  Ref.20221539673,Fixo
I.S.  4%  s/Com.Emis. Ord. Pag. Ref.20221539673,Fixo
Glovo 29SEP BRN2ACFH4 Lisbon PR,Comida
LA PORTA REST BRAGA,Comida
Glovo 27SEP BRX1FKV72 Lisbon PR,Comida
Glovo 27SEP BRFCNH31X Lisbon PR,Comida
LA PORTA REST BRAGA,Comida
Glovo 24SEP BRQLJRVFL Lisbon PR,Comida
Glovo 23SEP BR21NDVBQ Lisbon PR,Comida
LA PORTA REST BRAGA,Comida
VANILLADEVOTION BRAGA,Comida
IKEA BRAGA LINHA DE CA BRAGA PR,Casa
CONTINENTE BRAGA BRAGA,Supermercado
BK BRAGA ARCADA BRAGA,Comida
BK BRAGA ARCADA BRAGA,Comida
IKEA BRAGA CAIXAS ECO BRAGA PR,Casa
MARTINS E MARTINS LD BR,Casa
Glovo 17SEP BRSXDLWRA Lisbon PR,Comida
LA PORTA REST BRAGA,Comida
LA PORTA REST BRAGA,Comida
CONTINENTE BRAGA BRAGA,Supermercado
CONTINENTE BRAGA BRAGA,Supermercado
LA PORTA REST BRAGA,Comida
"LEV ATM 6251 BESCL Maximinos     R. Caires,21M",Saques
VANILLADEVOTION BRAGA P,Comida
LA PORTA BRAGA,Comida
QUNJIE ZHOU 4700206 BRAGA,Casa
VANILLADEVOTION BRAGA P,Comida
Glovo 14SEP BRBVWWS1R Lisbon PR,Comida
Glovo 14SEP BRG1RXAK5 Lisbon PR,Comida
VANILLADEVOTION BRAGA,Comida
AGERE LOJA DO 4700997 BRAGA,Contas
MUNDO DO CAFE BRAGA PR,Comida
IKEA BRAGA CAIXAS ECO BRAGA PR,Casa
Vodafone.pt Lisboa PR,Contas
LEV ATM 6251 ENPT3164 BRAGA,Saques
MARIA AMALIA BATISTAMAX,Casa
LA PORTA BRAGA,Comida
VANILLADEVOTION BRAGA P,Comida
LA PORTA BRAGA,Comida
"TENTACOES DO NORTE, DUM",Comida
IMPOSTO DE SELO 17.3.4,Fixo
COM. MANUTENCAO CONTA ORDENADO 082022,Fixo
ATIPICO BRANDAO N142,Comida
FELIX TABERNA SE BRAGA,Comida
IKEA BRAGA CAIXAS ECO BRAGA PR,Casa
DONNA PIZZA BRAGA,Comida
AS TIBIAS DE JOAO BRAGA,Comida
STAPLES LJ 3 BRAGA PR,Casa
MEDIA MARKT BRAGA BRAGA,Casa
FELIX TABERNA BRAGA PR,Comida
LA PORTA BRAGA,Comida
AS TIBIAS DE JOAO BRAGA,Comida
LEROY MERLIN BRAGA BRAG,Casa
Comissao Emissao s/ Ordem Pag.  Ref.20221652474,Fixo
I.S.  4%  s/Com.Emis. Ord. Pag. Ref.20221652474,Fixo
VANILLADEVOTION BRAGA,Comida
FNAC BRAGA 4710427 BRAGA,Casa
IKEA BRAGA CAIXAS ECO BRAGA PR,Casa
PAST BRAGAPARQUE BRAGA,Comida
CAMILA PACHECO BRAGA PR,Comida
WOK TO WALK N ARCADA BR,Comida
SumUp Queijo Coalho Rui,Comida
PAST BRAGAPARQUE BRAGA,Comida
